timestamp;session_duration;calm_probability;focus_probability;delta_CP3;delta_C3;delta_F5;delta_PO3;delta_PO4;delta_F6;delta_C4;delta_CP4;theta_CP3;theta_C3;theta_F5;theta_PO3;theta_PO4;theta_F6;theta_C4;theta_CP4;alpha_CP3;alpha_C3;alpha_F5;alpha_PO3;alpha_PO4;alpha_F6;alpha_C4;alpha_CP4;beta_CP3;beta_C3;beta_F5;beta_PO3;beta_PO4;beta_F6;beta_C4;beta_CP4;gamma_CP3;gamma_C3;gamma_F5;gamma_PO3;gamma_PO4;gamma_F6;gamma_C4;gamma_CP4;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-08-07T10:45:01.993894;0.98;0.49768864938795476;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;-3.699;-2.266;-2.898;-1.94;-0.208;-4.349;-3.656;-2.512
2025-08-07T10:45:02.053932;1.04;0.49768864938795476;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;-1.969;-0.337;-5.341;-4.908;-10.673;-4.461;-7.286;-7.231
2025-08-07T10:45:02.070624;1.06;0.49768864938795476;0.32005237278625315;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;8.575;-1.188;-2.446;7.556;5.147;-0.704;2.573;3.072
2025-08-07T10:45:02.181155;1.17;0.49768864938795476;0.4551944623765013;1.118;2.473;3.499;2.863;2.229;2.796;3.211;2.439;0.428;2.456;2.581;2.495;2.188;2.098;2.412;1.956;0.389;2.573;0.968;0.815;3.031;0.529;0.9;1.118;0.541;2.521;0.591;1.488;1.461;0.672;0.606;1.111;0.144;0.376;0.083;0.225;0.223;0.154;0.165;0.181;8.575;-1.188;-2.446;7.556;5.147;-0.704;2.573;3.072
2025-08-07T10:45:02.192427;1.18;0.49768864938795476;0.4551944623765013;1.313;5.481;1.833;2.619;2.272;2.806;2.73;2.432;2.069;7.21;2.763;2.004;1.607;3.953;3.827;2.915;2.177;3.78;0.94;2.435;1.581;2.232;2.336;1.491;1.005;1.78;0.547;1.269;1.106;0.867;0.738;1.377;0.214;0.344;0.12;0.342;0.268;0.211;0.242;0.128;8.575;-1.188;-2.446;7.556;5.147;-0.704;2.573;3.072
2025-08-07T10:45:02.198451;1.18;0.49768864938795476;0.4551944623765013;3.373;6.312;3.061;3.638;4.584;5.831;5.269;5.94;3.302;5.72;1.98;3.405;3.411;3.796;3.378;3.163;2.221;4.867;1.573;1.274;3.348;2.97;3.336;3.401;0.691;2.067;0.604;1.682;1.545;0.706;1.074;1.323;0.272;0.431;0.184;0.408;0.317;0.248;0.295;0.306;8.575;-1.188;-2.446;7.556;5.147;-0.704;2.573;3.072
2025-08-07T10:45:02.208444;1.19;0.49768864938795476;0.4551944623765013;3.373;6.312;3.061;3.638;4.584;5.831;5.269;5.94;3.302;5.72;1.98;3.405;3.411;3.796;3.378;3.163;2.221;4.867;1.573;1.274;3.348;2.97;3.336;3.401;0.691;2.067;0.604;1.682;1.545;0.706;1.074;1.323;0.272;0.431;0.184;0.408;0.317;0.248;0.295;0.306;-3.451;3.216;0.792;-1.183;3.191;-1.766;-1.133;-0.264
2025-08-07T10:45:02.263361;1.25;0.49768864938795476;0.4551944623765013;3.373;6.312;3.061;3.638;4.584;5.831;5.269;5.94;3.302;5.72;1.98;3.405;3.411;3.796;3.378;3.163;2.221;4.867;1.573;1.274;3.348;2.97;3.336;3.401;0.691;2.067;0.604;1.682;1.545;0.706;1.074;1.323;0.272;0.431;0.184;0.408;0.317;0.248;0.295;0.306;5.319;19.25;5.828;1.721;4.732;9.874;10.673;9.425
2025-08-07T10:45:02.317849;1.3;0.49768864938795476;0.4551944623765013;3.373;6.312;3.061;3.638;4.584;5.831;5.269;5.94;3.302;5.72;1.98;3.405;3.411;3.796;3.378;3.163;2.221;4.867;1.573;1.274;3.348;2.97;3.336;3.401;0.691;2.067;0.604;1.682;1.545;0.706;1.074;1.323;0.272;0.431;0.184;0.408;0.317;0.248;0.295;0.306;-4.664;-11.405;-4.703;-8.823;-3.135;-2.713;-4.159;1.031
2025-08-07T10:45:02.370343;1.36;0.49768864938795476;0.4551944623765013;2.555;4.148;1.881;2.392;1.697;3.251;4.683;5.479;4.222;6.392;3.257;2.153;2.638;4.09;5.342;6.399;1.385;2.682;0.862;1.386;1.517;1.459;2.489;2.836;0.517;1.377;0.611;1.469;1.325;0.458;0.605;0.789;0.154;0.374;0.179;0.263;0.266;0.166;0.234;0.243;-4.664;-11.405;-4.703;-8.823;-3.135;-2.713;-4.159;1.031
2025-08-07T10:45:02.376360;1.36;0.49768864938795476;0.4551944623765013;2.555;4.148;1.881;2.392;1.697;3.251;4.683;5.479;4.222;6.392;3.257;2.153;2.638;4.09;5.342;6.399;1.385;2.682;0.862;1.386;1.517;1.459;2.489;2.836;0.517;1.377;0.611;1.469;1.325;0.458;0.605;0.789;0.154;0.374;0.179;0.263;0.266;0.166;0.234;0.243;-11.403;-20.577;-7.974;-4.849;-14.037;-16.93;-15.373;-13.894
2025-08-07T10:45:02.492835;1.48;0.49768864938795476;0.4551944623765013;2.555;4.148;1.881;2.392;1.697;3.251;4.683;5.479;4.222;6.392;3.257;2.153;2.638;4.09;5.342;6.399;1.385;2.682;0.862;1.386;1.517;1.459;2.489;2.836;0.517;1.377;0.611;1.469;1.325;0.458;0.605;0.789;0.154;0.374;0.179;0.263;0.266;0.166;0.234;0.243;3.513;0.852;0.996;7.383;1.199;0.012;0.287;-8.372
2025-08-07T10:45:02.501791;1.49;0.49768864938795476;0.4551944623765013;2.555;4.148;1.881;2.392;1.697;3.251;4.683;5.479;4.222;6.392;3.257;2.153;2.638;4.09;5.342;6.399;1.385;2.682;0.862;1.386;1.517;1.459;2.489;2.836;0.517;1.377;0.611;1.469;1.325;0.458;0.605;0.789;0.154;0.374;0.179;0.263;0.266;0.166;0.234;0.243;4.208;13.692;3.884;7.079;5.404;5.337;4.263;-2.141
2025-08-07T10:45:02.555087;1.54;0.49768864938795476;0.4551944623765013;2.555;4.148;1.881;2.392;1.697;3.251;4.683;5.479;4.222;6.392;3.257;2.153;2.638;4.09;5.342;6.399;1.385;2.682;0.862;1.386;1.517;1.459;2.489;2.836;0.517;1.377;0.611;1.469;1.325;0.458;0.605;0.789;0.154;0.374;0.179;0.263;0.266;0.166;0.234;0.243;1.17;-1.427;5.082;-3.564;2.976;6.756;8.208;7.866
2025-08-07T10:45:02.557267;1.54;0.49768864938795476;0.4551944623765013;3.599;1.148;11.773;1.673;3.041;6.928;0.91;6.421;3.831;1.453;13.549;3.065;2.658;6.608;2.339;4.794;1.225;3.199;5.957;2.887;1.743;4.869;2.671;2.158;0.684;1.675;2.177;1.478;0.997;1.872;0.704;1.179;0.149;0.209;0.652;0.173;0.242;0.294;0.136;0.224;1.17;-1.427;5.082;-3.564;2.976;6.756;8.208;7.866
2025-08-07T10:45:02.614422;1.6;0.49768864938795476;0.4551944623765013;3.599;1.148;11.773;1.673;3.041;6.928;0.91;6.421;3.831;1.453;13.549;3.065;2.658;6.608;2.339;4.794;1.225;3.199;5.957;2.887;1.743;4.869;2.671;2.158;0.684;1.675;2.177;1.478;0.997;1.872;0.704;1.179;0.149;0.209;0.652;0.173;0.242;0.294;0.136;0.224;6.072;11.952;5.046;-3.137;7.458;10.083;8.379;15.685
2025-08-07T10:45:02.668097;1.65;0.49768864938795476;0.4551944623765013;3.599;1.148;11.773;1.673;3.041;6.928;0.91;6.421;3.831;1.453;13.549;3.065;2.658;6.608;2.339;4.794;1.225;3.199;5.957;2.887;1.743;4.869;2.671;2.158;0.684;1.675;2.177;1.478;0.997;1.872;0.704;1.179;0.149;0.209;0.652;0.173;0.242;0.294;0.136;0.224;-1.677;-7.9;-3.42;-1.451;-2.437;-0.355;-4.551;6.794
2025-08-07T10:45:02.732822;1.72;0.49768864938795476;0.4551944623765013;3.599;1.148;11.773;1.673;3.041;6.928;0.91;6.421;3.831;1.453;13.549;3.065;2.658;6.608;2.339;4.794;1.225;3.199;5.957;2.887;1.743;4.869;2.671;2.158;0.684;1.675;2.177;1.478;0.997;1.872;0.704;1.179;0.149;0.209;0.652;0.173;0.242;0.294;0.136;0.224;-6.516;-6.234;-2.116;-0.421;-2.089;-6.784;-14.077;-11.799
2025-08-07T10:45:02.747639;1.73;0.49768864938795476;0.4551944623765013;3.599;1.148;11.773;1.673;3.041;6.928;0.91;6.421;3.831;1.453;13.549;3.065;2.658;6.608;2.339;4.794;1.225;3.199;5.957;2.887;1.743;4.869;2.671;2.158;0.684;1.675;2.177;1.478;0.997;1.872;0.704;1.179;0.149;0.209;0.652;0.173;0.242;0.294;0.136;0.224;8.16;3.041;6.186;5.611;1.931;3.522;5.988;4.831
2025-08-07T10:45:02.808737;1.79;0.49768864938795476;0.4551944623765013;3.599;1.148;11.773;1.673;3.041;6.928;0.91;6.421;3.831;1.453;13.549;3.065;2.658;6.608;2.339;4.794;1.225;3.199;5.957;2.887;1.743;4.869;2.671;2.158;0.684;1.675;2.177;1.478;0.997;1.872;0.704;1.179;0.149;0.209;0.652;0.173;0.242;0.294;0.136;0.224;1.178;0.265;-1.747;4.355;-0.803;-4.019;3.158;-4.913
2025-08-07T10:45:02.864460;1.85;0.49768864938795476;0.4551944623765013;3.599;1.148;11.773;1.673;3.041;6.928;0.91;6.421;3.831;1.453;13.549;3.065;2.658;6.608;2.339;4.794;1.225;3.199;5.957;2.887;1.743;4.869;2.671;2.158;0.684;1.675;2.177;1.478;0.997;1.872;0.704;1.179;0.149;0.209;0.652;0.173;0.242;0.294;0.136;0.224;-10.496;-0.839;-9.797;-10.904;-8.179;-10.374;-3.468;-11.783
