timestamp;session_duration;calm_probability;focus_probability;delta;theta;alpha;beta;gamma;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-07-03T12:00:36.620276;3.32;0.29178548838753426;0.28174688537635006;6.348;6.704;5.102;3.708;0.531;-1.655;-2.279;1.633;19.648;4.185;-1.208;19.361;-1.095
2025-07-03T12:00:36.688169;3.39;0.29178548838753426;0.28174688537635006;6.348;6.704;5.102;3.708;0.531;0.551;-1.657;-3.441;-21.011;-12.422;-0.613;-2.598;1.22
2025-07-03T12:00:36.740689;3.44;0.29178548838753426;0.28174688537635006;6.348;6.704;5.102;3.708;0.531;-1.06;1.01;1.312;-24.765;-5.527;-1.559;-6.396;-0.701
2025-07-03T12:00:36.842635;3.55;0.29178548838753426;0.28174688537635006;9.763;13.386;7.351;3.904;0.939;-1.06;1.01;1.312;-24.765;-5.527;-1.559;-6.396;-0.701
2025-07-03T12:00:36.864234;3.57;0.29178548838753426;0.28174688537635006;9.763;13.386;7.351;3.904;0.939;-1.833;3.463;2.319;24.582;11.849;1.22;30.772;0.025
2025-07-03T12:00:36.867233;3.57;0.29178548838753426;0.28174688537635006;9.763;13.386;7.351;3.904;0.939;7.208;-1.937;-2.386;43.801;14.132;-4.027;45.112;-2.866
2025-07-03T12:00:36.919323;3.62;0.29178548838753426;0.28174688537635006;9.763;13.386;7.351;3.904;0.939;3.261;0.757;-1.008;25.773;12.097;-1.944;18.684;0.58
2025-07-03T12:00:36.920322;3.62;0.3106084213243844;0.28174688537635006;9.763;13.386;7.351;3.904;0.939;3.261;0.757;-1.008;25.773;12.097;-1.944;18.684;0.58
2025-07-03T12:00:36.975887;3.68;0.3106084213243844;0.28174688537635006;9.763;13.386;7.351;3.904;0.939;-13.145;-2.471;-0.279;-61.02;-33.931;4.702;-94.027;2.969
2025-07-03T12:00:37.029494;3.73;0.3106084213243844;0.28174688537635006;9.763;13.386;7.351;3.904;0.939;-1.41;0.649;3.143;-52.19;-18.746;3.23;-74.817;2.4
2025-07-03T12:00:37.034476;3.74;0.3106084213243844;0.28174688537635006;9.763;13.386;7.351;3.904;0.939;3.704;1.005;1.152;-0.747;6.055;-0.317;6.803;-1.3
2025-07-03T12:00:37.091109;3.79;0.3106084213243844;0.26183845469536293;9.763;13.386;7.351;3.904;0.939;3.704;1.005;1.152;-0.747;6.055;-0.317;6.803;-1.3
2025-07-03T12:00:37.143553;3.85;0.3106084213243844;0.26183845469536293;11.096;9.539;6.33;5.134;1.132;3.704;1.005;1.152;-0.747;6.055;-0.317;6.803;-1.3
2025-07-03T12:00:37.145570;3.85;0.3106084213243844;0.26183845469536293;11.096;9.539;6.33;5.134;1.132;5.173;1.612;1.499;1.46;11.122;-2.621;38.709;3.863
2025-07-03T12:00:37.147555;3.85;0.3106084213243844;0.26183845469536293;11.096;9.539;6.33;5.134;1.132;-3.242;-1.882;-10.493;1.855;0.816;0.37;15.133;-8.89
2025-07-03T12:00:37.200825;3.9;0.3106084213243844;0.26183845469536293;11.096;9.539;6.33;5.134;1.132;2.36;0.543;3.903;72.473;19.283;-3.963;96.081;-1.736
2025-07-03T12:00:37.305277;4.01;0.3106084213243844;0.26183845469536293;11.096;9.539;6.33;5.134;1.132;-4.048;-1.632;1.674;-13.191;-5.873;2.385;-26.4;5.958
2025-07-03T12:00:37.310282;4.01;0.3106084213243844;0.26183845469536293;15.364;8.491;8.693;4.885;1.055;-4.048;-1.632;1.674;-13.191;-5.873;2.385;-26.4;5.958
2025-07-03T12:00:37.362744;4.07;0.3106084213243844;0.26183845469536293;15.364;8.491;8.693;4.885;1.055;3.851;0.56;0.078;3.482;-0.478;1.891;-20.911;2.071
2025-07-03T12:00:37.415695;4.12;0.3106084213243844;0.26183845469536293;15.364;8.491;8.693;4.885;1.055;2.698;1.499;3.81;7.813;-4.123;2.542;-0.343;-2.058
2025-07-03T12:00:37.467391;4.17;0.3106084213243844;0.26183845469536293;15.364;8.491;8.693;4.885;1.055;-11.788;0.746;-0.766;-86.691;-35.778;-1.904;-103.198;0.783
2025-07-03T12:00:37.520486;4.22;0.3106084213243844;0.26183845469536293;15.364;8.491;8.693;4.885;1.055;13.407;-2.344;-5.749;71.852;42.72;-2.336;57.941;-3.57
2025-07-03T12:00:37.521486;4.22;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;13.407;-2.344;-5.749;71.852;42.72;-2.336;57.941;-3.57
2025-07-03T12:00:37.575989;4.28;0.3106084213243844;0.26183845469536293;11.005;7.594;3.464;1.85;0.746;6.958;-2.706;4.926;83.468;28.213;0.232;101.697;1.736
